621000;620000;庆阳市;2
621100;620000;定西市;2
621200;620000;陇南市;2
622900;620000;临夏回族自治州;2
623000;620000;甘南藏族自治州;2
630100;630000;西宁市;2
632100;630000;海东地区;2
632200;630000;海北藏族自治州;2
632300;630000;黄南藏族自治州;2
632500;630000;海南藏族自治州;2
632600;630000;果洛藏族自治州;2
632700;630000;玉树藏族自治州;2
632800;630000;海西蒙古族藏族自治州;2
640100;640000;银川市;2
640200;640000;石嘴山市;2
640300;640000;吴忠市;2
640400;640000;固原市;2
640500;640000;中卫市;2
650100;650000;乌鲁木齐市;2
650200;650000;克拉玛依市;2
652100;650000;吐鲁番地区;2
652200;650000;哈密地区;2
652300;650000;昌吉回族自治州;2
652700;650000;博尔塔拉蒙古自治州;2
652800;650000;巴音郭楞蒙古自治州;2
652900;650000;阿克苏地区;2
653000;650000;克孜勒苏柯尔克孜自治州;2
653100;650000;喀什地区;2
653200;650000;和田地区;2
654000;650000;伊犁哈萨克自治州;2
654200;650000;塔城地区;2
654300;650000;阿勒泰地区;2
110100;110000;北京市;2
120100;120000;天津市;2
310100;310000;上海市;2
